npc,role,size,file_path,faction,image_fill_height,image_y_offset
ace,striker,1,res/lancer/images/pishly_npc/Ace.png,,,
aegis,support,1,res/lancer/images/pishly_npc/Aegis.png,,,
archer,controller,1,res/lancer/images/pishly_npc/Archer.png,,,
assassin,striker,0.5,res/lancer/images/pishly_npc/Assassin.png,,,
assault,striker,1,res/lancer/images/pishly_npc/Assault.png,,,
barricade,controller,2,res/lancer/images/pishly_npc/Barricade.png,,,
bastion,defender,2,res/lancer/images/pishly_npc/Bastion.png,,,
bombard,artillery,1,res/lancer/images/pishly_npc/Bombard.png,,,
breacher,striker,1,res/lancer/images/pishly_npc/Breacher.png,,,
cataphract,striker,1,res/lancer/images/pishly_npc/Cataphract.png,,,
demolisher,defender,2,res/lancer/images/pishly_npc/Demolisher.png,,,
engineer,striker,1,res/lancer/images/pishly_npc/Engineer.png,,,
goliath,defender,3,res/lancer/images/pishly_npc/Goliath.png,,,
hive,controller,1,res/lancer/images/pishly_npc/Hive.png,,,
hornet,controller,0.5,res/lancer/images/pishly_npc/Hornet.png,,,
mirage,support,0.5,res/lancer/images/pishly_npc/Mirage.png,,,
operator,artillery,1,res/lancer/images/pishly_npc/Operator.png,,,
priest,support,0.5,res/lancer/images/pishly_npc/Priest.png,,,
pyro,defender,1,res/lancer/images/pishly_npc/Pyro.png,,,
rainmaker,artillery,1,res/lancer/images/pishly_npc/Rainmaker.png,,,
ronin,striker,1,res/lancer/images/pishly_npc/Ronin.png,,False,0.05
scourer,striker,1,res/lancer/images/pishly_npc/Scourer.png,,,
scout,support,0.5,res/lancer/images/pishly_npc/Scout.png,,,
spite,defender,2,res/lancer/images/pishly_npc/Spite.png,,False,-0.05
seeder,controller,1,res/lancer/images/pishly_npc/Seeder.png,,,
sentinel,defender,1,res/lancer/images/pishly_npc/Sentinel.png,,,
sniper,artillery,1,res/lancer/images/pishly_npc/Sniper.png,,,
specter,striker,1,res/lancer/images/pishly_npc/Specter.png,,,
support,support,2,res/lancer/images/pishly_npc/Support.png,,False,0.05
witch,controller,0.5,res/lancer/images/pishly_npc/Witch.png,,,
,striker,0.5,res/lancer/images/pishly_npc_factions/Cephalapunk_Assassin.png,cephalapunk,,
,controller,2,res/lancer/images/pishly_npc_factions/Cephalapunk_Barricade.png,cephalapunk,,
,defender,3,res/lancer/images/pishly_npc_factions/Cephalapunk_Goliath.png,cephalapunk,,
,support,1,res/lancer/images/pishly_npc_factions/Cephalapunk_Leech.png,cephalapunk,,
,defender,1,res/lancer/images/pishly_npc_factions/Cephalapunk_Sentinel.png,cephalapunk,,
,striker,1,res/lancer/images/pishly_npc_factions/Hellrunner_Cataphract.png,hellrunner,,
,support,0.5,res/lancer/images/pishly_npc_factions/Hellrunner_Mirage.png,hellrunner,,
,striker,1,res/lancer/images/pishly_npc_factions/Hellrunner_Scourer.png,hellrunner,False,-0.05
,defender,2,res/lancer/images/pishly_npc_factions/Hellrunner_Scourer.png,hellrunner,False,-0.06
,support,0.5,res/lancer/images/pishly_npc_factions/Hellrunner_Scout.png,hellrunner,,
,artillery,1,res/lancer/images/pishly_npc_factions/Hellrunner_Sniper.png,hellrunner,,
,striker,1,res/lancer/images/pishly_npc_factions/Morningstar_Engineer.png,morningstar,,
,controller,1,res/lancer/images/pishly_npc_factions/Morningstar_Hornet.png,morningstar,,
,artillery,1,res/lancer/images/pishly_npc_factions/Morningstar_Rainmaker.png,morningstar,,
,striker,1,res/lancer/images/pishly_npc_factions/Morningstar_Specter.png,morningstar,,
,striker,1,res/lancer/images/pishly_npc_factions/Morningstar_Strider.png,morningstar,True,
,defender,2,res/lancer/images/pishly_npc_factions/Morningstar_Strider.png,morningstar,True,
,support,1,res/lancer/images/pishly_npc_factions/Parallax_Aegis.png,parallax,,
,artillery,1,res/lancer/images/pishly_npc_factions/Parallax_Operator.png,parallax,,
,support,1,res/lancer/images/pishly_npc_factions/Parallax_Priest.png,parallax,,
,defender,2,res/lancer/images/pishly_npc_factions/Parallax_Spite.png,parallax,,
,controller,1,res/lancer/images/pishly_npc_factions/Parallax_Witch.png,parallax,,
,striker,1,res/lancer/images/pishly_npc_factions/Raider_Assault.png,raider,True,
,striker,1,res/lancer/images/pishly_npc_factions/Raider_Breacher.png,raider,True,
,controller,1,res/lancer/images/pishly_npc_factions/Raider_Hive.png,raider,,
,defender,1,res/lancer/images/pishly_npc_factions/Raider_Pyro.png,raider,,
,striker,1,res/lancer/images/pishly_npc_factions/Raider_Ronin.png,raider,True,
,striker,1,res/lancer/images/pishly_npc_factions/Verdant_Ace.png,verdant,True,
,controller,1,res/lancer/images/pishly_npc_factions/Verdant_Archer.png,verdant,True,
,defender,2,res/lancer/images/pishly_npc_factions/Verdant_Bastion.png,verdant,,
,striker,1,res/lancer/images/pishly_npc_factions/Verdant_Berserker.png,verdant,True,
,controller,1,res/lancer/images/pishly_npc_factions/Verdant_Seeder.png,verdant,True,
