npc,role,size
ace,striker,1
aegis,support,1
archer,controller,1
assassin,striker,0.5
assault,striker,1
barricade,controller,2
bastion,defender,2
beserker,striker,1
bombard,artillery,1
breacher,striker,1
cataphract,striker,1
demolisher,defender,2
engineer,striker,1
goliath,defender,3
hive,controller,1
hornet,controller,0.5
mirage,support,0.5
operator,artillery,1
priest,support,0.5
pyro,defender,1
rainmaker,artillery,1
ronin,striker,1
scourer,striker,1
scout,support,0.5
spite,defender,2
seeder,controller,1
sentinel,defender,1
sniper,artillery,2
specter,striker,1
support,support,2
witch,controller,0.5
